account_id,customer_id,account_type,branch,ifsc_code,currency,balance,interest_rate,open_date,close_date,status,is_joint_account
100169,121,Recurring Deposit,Dharan North,DHRN0006,NPR,895536.41,7.55,2026-07-27,,Dormant,False
100170,121,Fixed Deposit,Pokhara City,PKRA0002,NPR,276448.11,9.47,2024-05-03,,Dormant,False
100171,122,Checking,Butwal West,BTWL0005,NPR,153248.69,0,2020-11-13,,Active,False
100172,123,Recurring Deposit,Biratnagar East,BRTN0004,NPR,838229.39,8.88,2026-05-29,,Active,False
100173,124,Fixed Deposit,Biratnagar East,BRTN0004,NPR,748602.26,8.57,2022-11-14,,Active,True
100174,125,Fixed Deposit,Bhaktapur Central,BHKT0007,NPR,180767.75,7.63,2017-03-08,,Active,True
100175,126,Fixed Deposit,Itahari Plaza,ITHR0008,NPR,386216.02,10.99,2020-12-13,,Active,True
100176,127,Recurring Deposit,Lalitpur,LALI0003,NPR,55031.6,7.09,2025-08-22,,Active,False
100177,128,Checking,Dharan North,DHRN0006,NPR,142692.69,0,2025-03-26,,Active,False
100178,129,Checking,Kathmandu Main,KTMN0001,NPR,2854.12,0,2025-08-22,,Active,False
100179,130,Fixed Deposit,Dharan North,DHRN0006,NPR,275593.39,8.47,2020-06-21,,Active,False
100180,131,Checking,Lalitpur,LALI0003,NPR,108157.96,0,2024-07-15,,Active,False
100181,131,Savings,Itahari Plaza,ITHR0008,NPR,13004.87,5.64,2023-06-22,,Active,False
100182,132,Fixed Deposit,Dharan North,DHRN0006,NPR,772243.01,7.08,2022-03-16,,Active,False
100183,133,Fixed Deposit,Pokhara City,PKRA0002,NPR,330032.99,6.82,2023-09-15,,Active,False
100184,133,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,472109.77,10.56,2022-02-19,,Active,True
100185,133,Savings,Itahari Plaza,ITHR0008,NPR,0,6.48,2021-06-04,2026-02-17,Closed,False
100186,134,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,485023.71,10.21,2025-11-06,,Active,False
100187,134,Checking,Bhaktapur Central,BHKT0007,NPR,166046.36,0,2026-05-31,,Active,False
100188,135,Recurring Deposit,Itahari Plaza,ITHR0008,NPR,237602.22,6.85,2017-05-07,,Active,True
100189,136,Savings,Biratnagar East,BRTN0004,NPR,247286,3.7,2025-07-14,,Active,False
100190,137,Savings,Bhaktapur Central,BHKT0007,NPR,299429.33,5.86,2024-09-07,,Active,False
100191,138,Checking,Kathmandu Main,KTMN0001,NPR,43637.47,0,2019-10-22,,Dormant,False
100192,139,Recurring Deposit,Butwal West,BTWL0005,NPR,522339.67,8.8,2023-07-31,,Active,False
100193,140,Fixed Deposit,Butwal West,BTWL0005,NPR,731676.25,10.35,2026-05-25,,Active,False
100194,141,Checking,Kathmandu Main,KTMN0001,NPR,114623.55,0,2022-06-28,,Dormant,False
100195,142,Checking,Dharan North,DHRN0006,NPR,77808.95,0,2023-01-05,,Active,True
100196,143,Savings,Pokhara City,PKRA0002,NPR,247104.33,3.12,2024-02-20,,Dormant,False
100197,143,Recurring Deposit,Butwal West,BTWL0005,NPR,0,9.16,2021-10-20,2022-12-22,Closed,False
100198,144,Recurring Deposit,Biratnagar East,BRTN0004,NPR,99058.92,8.45,2026-02-15,,Active,True
100199,145,Savings,Itahari Plaza,ITHR0008,NPR,276758.34,4.96,2022-04-26,,Active,False
100200,146,Fixed Deposit,Biratnagar East,BRTN0004,NPR,710913.82,9.72,2022-06-05,,Active,True
100201,147,Checking,Pokhara City,PKRA0002,NPR,34068.63,0,2023-09-24,,Active,False
100202,148,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,835277.3,7.1,2024-04-12,,Active,False
100203,148,Recurring Deposit,Butwal West,BTWL0005,NPR,727624.41,9.68,2024-09-18,,Dormant,False
100204,149,Fixed Deposit,Dharan North,DHRN0006,NPR,179113.14,10.1,2024-04-04,,Active,False
100205,150,Savings,Dharan North,DHRN0006,NPR,192414.58,3.78,2022-09-28,,Active,True
100206,151,Checking,Lalitpur,LALI0003,NPR,119634.48,0,2024-02-06,,Active,True
100207,152,Fixed Deposit,Pokhara City,PKRA0002,NPR,0,7.81,2022-01-09,2024-12-17,Closed,False
100208,153,Recurring Deposit,Pokhara City,PKRA0002,NPR,287999.01,7.86,2022-03-13,,Active,True
100209,154,Recurring Deposit,Butwal West,BTWL0005,NPR,835915.81,6.65,2020-11-17,,Dormant,True
100210,155,Fixed Deposit,Biratnagar East,BRTN0004,NPR,0,8,2024-12-14,2025-10-17,Closed,False
100211,155,Recurring Deposit,Biratnagar East,BRTN0004,NPR,0,10.04,2025-06-14,2025-12-17,Closed,False
100212,155,Savings,Itahari Plaza,ITHR0008,NPR,0,3.56,2024-10-17,2026-05-04,Closed,False
100213,156,Savings,Kathmandu Main,KTMN0001,NPR,29619.42,5.26,2026-03-29,,Dormant,False
100214,157,Fixed Deposit,Pokhara City,PKRA0002,NPR,0,9.48,2020-02-12,2021-12-14,Closed,True
100215,158,Recurring Deposit,Butwal West,BTWL0005,NPR,129911.21,10.46,2026-01-03,,Active,True
100216,159,Fixed Deposit,Pokhara City,PKRA0002,NPR,259074.59,9.06,2020-11-02,,Active,True
100217,160,Fixed Deposit,Biratnagar East,BRTN0004,NPR,521998.14,10.95,2019-03-17,,Active,False
100218,161,Checking,Pokhara City,PKRA0002,NPR,169342.75,0,2026-06-14,,Active,False
100219,161,Checking,Biratnagar East,BRTN0004,NPR,20887.52,0,2026-06-19,,Active,False
100220,162,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,298164.11,10.51,2026-06-22,,Active,True
100221,162,Checking,Biratnagar East,BRTN0004,NPR,137690.63,0,2025-09-14,,Dormant,True
100222,162,Checking,Pokhara City,PKRA0002,NPR,-250.15,0,2025-12-19,,Active,False
100223,163,Fixed Deposit,Pokhara City,PKRA0002,NPR,553083.5,7.32,2026-07-29,,Active,False
100224,163,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,720321.18,7.17,2024-07-15,,Active,False
100225,164,Fixed Deposit,Lalitpur,LALI0003,NPR,836163.76,9.59,2019-08-07,,Active,True
100226,165,Recurring Deposit,Kathmandu Main,KTMN0001,NPR,712371.18,10.59,2024-05-19,,Dormant,True
100227,165,Checking,Kathmandu Main,KTMN0001,NPR,139884,0,2026-05-03,,Active,True
100228,165,Fixed Deposit,Lalitpur,LALI0003,NPR,621810.66,9.86,2026-02-05,,Active,False
100229,166,Fixed Deposit,Kathmandu Main,KTMN0001,NPR,0,8.24,2026-05-17,2026-07-31,Closed,False
100230,167,Savings,Pokhara City,PKRA0002,NPR,72411.76,5.06,2022-12-02,,Active,False
100231,167,Recurring Deposit,Kathmandu Main,KTMN0001,NPR,0,9.57,2024-06-27,2025-08-05,Closed,False
100232,168,Recurring Deposit,Pokhara City,PKRA0002,NPR,0,8.03,2018-07-11,2026-01-22,Closed,False
100233,168,Fixed Deposit,Kathmandu Main,KTMN0001,NPR,563255.31,10.78,2019-05-02,,Active,False
100234,169,Fixed Deposit,Itahari Plaza,ITHR0008,NPR,513593.76,6.87,2019-11-23,,Active,False
100235,170,Savings,Butwal West,BTWL0005,NPR,297742.06,3.66,2019-08-17,,Active,False
100236,170,Recurring Deposit,Biratnagar East,BRTN0004,NPR,630508.46,6.69,2017-03-19,,Active,False
100237,171,Fixed Deposit,Lalitpur,LALI0003,NPR,240570.31,10.5,2024-04-21,,Active,False
100238,172,Fixed Deposit,Biratnagar East,BRTN0004,NPR,498114.31,6.5,2018-11-11,,Active,False
100239,173,Checking,Itahari Plaza,ITHR0008,NPR,0,0,2021-11-05,2023-04-02,Closed,True
100240,174,Recurring Deposit,Lalitpur,LALI0003,NPR,616362.01,6.84,2025-11-07,,Active,False
100241,174,Recurring Deposit,Butwal West,BTWL0005,NPR,309533.58,9.69,2020-09-20,,Active,False
100242,174,Savings,Itahari Plaza,ITHR0008,NPR,207628.93,3.06,2022-12-08,,Active,True
100243,175,Recurring Deposit,Butwal West,BTWL0005,NPR,669532.25,9.87,2025-11-22,,Active,True
100244,176,Recurring Deposit,Lalitpur,LALI0003,NPR,172847.33,9.14,2020-08-26,,Active,True
100245,176,Recurring Deposit,Lalitpur,LALI0003,NPR,0,8.95,2023-09-22,2025-01-29,Closed,False
100246,176,Recurring Deposit,Pokhara City,PKRA0002,NPR,868569.3,9.69,2024-11-03,,Active,False
100247,177,Recurring Deposit,Kathmandu Main,KTMN0001,NPR,345158.43,7.13,2024-09-07,,Dormant,True
100248,178,Checking,Butwal West,BTWL0005,NPR,47954.86,0,2024-09-07,,Dormant,False
100249,179,Fixed Deposit,Lalitpur,LALI0003,NPR,807555.76,8.64,2024-11-30,,Active,False
100250,179,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,0,7.94,2024-06-16,2025-03-09,Closed,False
100251,180,Checking,Itahari Plaza,ITHR0008,NPR,111777.06,0,2025-08-03,,Active,False
100252,181,Fixed Deposit,Itahari Plaza,ITHR0008,NPR,0,7.74,2025-07-09,2026-02-04,Closed,False
100253,182,Recurring Deposit,Butwal West,BTWL0005,NPR,270767.65,9.97,2024-03-22,,Active,True
100254,182,Fixed Deposit,Dharan North,DHRN0006,NPR,275693.5,7.6,2023-11-28,,Active,True
100255,183,Savings,Bhaktapur Central,BHKT0007,NPR,50193.28,3.62,2020-06-30,,Active,True
100256,183,Recurring Deposit,Bhaktapur Central,BHKT0007,NPR,383684.47,10.13,2023-01-30,,Active,False
100257,184,Checking,Bhaktapur Central,BHKT0007,NPR,17110.2,0,2026-03-10,,Active,False
100258,184,Savings,Bhaktapur Central,BHKT0007,NPR,1430.8,5.01,2024-07-01,,Dormant,False
100259,185,Recurring Deposit,Biratnagar East,BRTN0004,NPR,0,9.56,2024-05-31,2025-03-07,Closed,False
100260,186,Checking,Pokhara City,PKRA0002,NPR,131685.67,0,2023-08-20,,Active,False
100261,187,Checking,Bhaktapur Central,BHKT0007,NPR,125859.94,0,2022-09-13,,Active,False
100262,187,Checking,Biratnagar East,BRTN0004,NPR,59631.44,0,2019-04-20,,Active,True
